pdbcode,-log[Ki or Kd or IC50],dataset,binding constant type,data sign
4n6h,9.28,general,Kd,=
3ovn,2.55,general,Kd,=
4p0n,8.66,general,IC50,=
1nym,5.40,general,Ki,=
2xbp,5.02,general,Kd,=
1gj5,4.96,general,Ki,=
1b5g,8.00,general,Ki,=
1rhm,5.76,general,IC50,=
2xru,7.51,general,IC50,=
4ty9,2.05,general,Kd,=
1nny,7.66,general,Ki,=
1osv,3.48,general,Kd,=
4aac,8.17,general,IC50,=
4fgx,7.14,general,IC50,=
3g1m,6.30,general,IC50,=
3g5d,7.96,general,Kd,=
4gih,8.32,general,Ki,=
1ppl,8.55,general,Ki,=
3gy2,5.74,general,Kd,=
2c5y,6.60,general,IC50,=
3bxh,4.03,general,Kd,=
2baj,8.40,general,Kd,=
1px4,3.23,general,Ki,=
4gk2,8.80,general,IC50,=
4cwf,4.49,general,Ki,=
4eol,6.05,general,Ki,=
1ujj,6.10,general,Kd,=
2ewb,6.10,general,Ki,=
3ud9,4.67,general,Kd,=
2l6j,6.26,general,Kd,=
2wa3,3.00,general,IC50,=
1vyq,5.30,general,Ki,=
4m5n,5.12,general,Kd,=
4nro,5.02,general,Kd,~
4anx,7.74,general,IC50,=
4qsu,2.00,general,Kd,=
3acx,5.70,general,Ki,=
2z94,5.85,general,Ki,=
2vk6,5.30,general,Ki,=
4xyf,9.00,general,IC50,=
3b5r,8.77,general,Ki,=
2pgl,3.59,general,IC50,=
3lcv,4.74,general,Kd,=
4to8,1.24,general,IC50,=
3fsm,7.00,general,Kd,=
1jtq,8.07,general,Ki,=
3arx,5.33,general,Kd,=
3iog,5.52,general,Ki,=
3b78,4.10,general,Kd,=
4yk5,7.64,general,IC50,=
3ryy,7.42,general,Kd,=
3t19,8.66,general,Ki,=
2r5d,10.15,general,Kd,=
1n8v,6.03,general,Kd,=
4gtv,7.42,general,IC50,=
4yrt,2.78,general,IC50,=
3fdm,8.70,general,Ki,=
1rej,8.30,general,Ki,=
2bvd,6.00,general,Ki,=
4d52,3.11,general,Kd,=
4us4,5.32,general,Kd,=
3ql9,6.30,general,Kd,=
5c2a,8.32,general,Ki,=
3ecn,3.16,general,IC50,=
4rh5,6.90,general,Kd,=
4q8y,2.64,general,Ki,=
1sm2,8.00,general,Ki,<
1fwe,5.60,general,Ki,=
1mj7,8.35,general,Kd,=
1pxl,6.05,general,IC50,=
2zp0,7.60,general,IC50,=
3bv9,5.36,general,Ki,=
1zsb,0.60,general,Kd,=
2h44,5.77,general,IC50,=
3kai,5.41,general,IC50,=
4hlw,5.38,general,IC50,=
4qfr,8.13,general,Kd,=
4pb2,4.80,general,Kd,=
