pdbcode,-log[Ki or Kd or IC50],dataset,binding constant type,data sign
4n6h,9.28,refined,Kd,=
3ovn,2.55,refined,Kd,=
2xbp,5.02,refined,Kd,=
1nny,7.66,refined,Ki,=
4gih,8.32,refined,Ki,=
1ppl,8.55,refined,Ki,=
3gy2,5.74,refined,Kd,=
3bxh,4.03,refined,Kd,=
2baj,8.40,refined,Kd,=
1px4,3.23,refined,Ki,=
4cwf,4.49,refined,Ki,=
2ewb,6.10,refined,Ki,=
4qsu,2.00,refined,Kd,=
3acx,5.70,refined,Ki,=
2z94,5.85,refined,Ki,=
2vk6,5.30,refined,Ki,=
3b5r,8.77,refined,Ki,=
3lcv,4.74,refined,Kd,=
3arx,5.33,refined,Kd,=
3iog,5.52,refined,Ki,=
3ryy,7.42,refined,Kd,=
1n8v,6.03,refined,Kd,=
2bvd,6.00,refined,Ki,=
5c2a,8.32,refined,Ki,=
4q8y,2.64,refined,Ki,=
3bv9,5.36,refined,Ki,=
4pb2,4.80,refined,Kd,=
3c84,7.85,refined,Kd,=
2p4s,9.51,refined,Ki,=
4q4s,6.95,refined,Kd,=
6rnt,2.37,refined,Kd,=
1fh9,6.43,refined,Ki,=
1u1w,5.85,refined,Kd,=
4q9y,5.68,refined,Ki,=
3nex,6.00,refined,Kd,=
3ocp,7.57,refined,Kd,=
3ryv,7.07,refined,Kd,=
3qfz,3.24,refined,Ki,=
3ary,6.00,refined,Kd,=
4i74,6.72,refined,Ki,=
3p4v,5.10,refined,Ki,=
4ua8,6.26,refined,Kd,=
4igt,7.89,refined,Kd,=
3ejp,8.55,refined,Ki,=
3qaa,11.54,refined,Ki,=
2yme,7.66,refined,Kd,=
4ieh,7.85,refined,Kd,=
3ga5,5.49,refined,Kd,=
4cd1,4.89,refined,Ki,=
4cg8,6.96,refined,Kd,=
2pvk,8.30,refined,Ki,=
2vo4,4.94,refined,Kd,=
4avj,7.44,refined,Kd,=
1sqo,7.46,refined,Ki,=
1gj6,7.00,refined,Ki,=
2xxt,8.05,refined,Kd,=
2wyj,9.00,refined,Ki,=
3vf7,9.10,refined,Ki,=
4km0,6.04,refined,Kd,=
3tz0,5.04,refined,Kd,=
1a28,8.29,refined,Ki,=
4rak,7.85,refined,Ki,=
3ps1,10.17,refined,Ki,=
3p9l,5.30,refined,Kd,=
1ydr,5.52,refined,Ki,=
4y79,7.96,refined,Ki,=
3u93,6.31,refined,Ki,=
1l6m,8.10,refined,Kd,=
4cwt,6.75,refined,Ki,=
2aj8,6.20,refined,Ki,=
6cpa,11.52,refined,Ki,=
4qew,7.07,refined,Kd,=
1qb1,6.77,refined,Ki,=
4fm7,7.24,refined,Kd,=
4n9c,3.90,refined,Kd,=
3ikd,6.75,refined,Ki,=
1mrs,3.96,refined,Ki,=
3qwc,4.26,refined,Ki,=
3e5u,5.85,refined,Kd,=
3vhd,9.28,refined,Kd,=
1uwt,5.97,refined,Ki,=
1gyy,3.64,refined,Ki,=
4k5p,3.46,refined,Ki,=
3nsn,7.19,refined,Ki,=
1fcx,7.19,refined,Kd,=
3ivx,5.74,refined,Kd,=
1tsy,4.96,refined,Kd,=
3cyw,7.77,refined,Ki,=
1cbx,6.35,refined,Ki,=
3bgz,6.26,refined,Ki,=
1b6h,7.82,refined,Kd,=
4r0a,4.26,refined,Kd,=
3r4m,5.92,refined,Ki,=
3own,7.47,refined,Ki,=
2w8j,2.96,refined,Kd,=
4y8x,8.43,refined,Ki,=
1fzj,8.10,refined,Kd,=
4cr5,4.15,refined,Ki,=
4dbm,7.62,refined,Kd,=
3ekp,8.89,refined,Kd,=
1gx8,6.37,refined,Kd,=
4elh,8.09,refined,Ki,=
4ruy,7.89,refined,Ki,=
2j7b,6.62,refined,Kd,=
